date,temperature,humidity,luminosity
2023-12-07 16:02:38.083,21.9,35.9,116
2023-12-07 16:02:37.079,21.9,35.9,116
2023-12-07 16:02:36.071,21.8,35.5,112
2023-12-07 16:02:35.068,21.8,35.5,112
2023-12-07 16:02:34.060,21.8,35.6,112
2023-12-07 16:02:33.057,21.8,35.6,112
2023-12-07 16:02:32.049,21.8,35.2,113
2023-12-07 16:02:31.049,21.8,35.2,117
2023-12-07 16:02:30.037,21.9,34.8,114
2023-12-07 16:02:29.038,21.9,34.8,114
2023-12-07 16:02:28.030,21.8,34.7,114
2023-12-07 16:02:27.026,21.8,34.7,115
2023-12-07 16:02:26.019,21.8,34.7,115
2023-12-07 16:02:25.015,21.8,34.7,114
2023-12-07 16:02:24.008,21.8,34.6,115
2023-12-07 16:02:23.004,21.8,34.6,115
2023-12-07 16:02:21.996,21.8,34.6,113
2023-12-07 16:02:20.996,21.8,34.6,115
2023-12-07 16:02:19.985,21.9,34.7,115
2023-12-07 16:02:18.985,21.9,34.7,115
2023-12-07 16:02:17.978,21.9,34.7,115
2023-12-07 16:02:16.974,21.9,34.7,115
2023-12-07 16:02:15.966,21.8,34.7,115
2023-12-07 16:02:14.963,21.8,34.7,115
2023-12-07 16:02:13.955,21.9,34.8,115
2023-12-07 16:02:12.951,21.9,34.8,115
2023-12-07 16:02:11.944,21.9,34.8,113
2023-12-07 16:02:10.940,21.9,34.8,111
2023-12-07 16:02:09.932,21.9,34.7,112
2023-12-07 16:02:08.932,21.9,34.7,112
2023-12-07 16:02:07.921,21.9,34.7,116
2023-12-07 16:02:06.921,21.9,34.7,117
2023-12-07 16:02:05.914,21.9,34.7,116
2023-12-07 16:02:04.910,21.9,34.7,116
2023-12-07 16:02:03.902,21.9,34.8,116
2023-12-07 16:02:02.896,21.9,34.8,117
2023-12-07 16:02:01.889,21.9,34.9,115
2023-12-07 16:02:00.885,21.9,34.9,113
2023-12-07 16:01:59.877,21.9,35.0,113
2023-12-07 16:01:58.874,21.9,35.0,115
2023-12-07 16:01:57.866,21.9,35.0,114
2023-12-07 16:01:56.866,21.9,35.0,115
2023-12-07 16:01:55.854,21.9,35.1,114
2023-12-07 16:01:54.855,21.9,35.1,114
2023-12-07 16:01:53.847,21.9,35.1,115
2023-12-07 16:01:52.844,21.9,35.1,110
2023-12-07 16:01:51.836,21.9,35.2,110
2023-12-07 16:01:50.832,21.9,35.2,109
2023-12-07 16:01:49.825,21.9,35.2,109
2023-12-07 16:01:48.821,21.9,35.2,107
2023-12-07 16:01:47.813,21.9,35.3,108
2023-12-07 16:01:46.810,21.9,35.3,107
2023-12-07 16:01:45.802,21.9,35.4,107
2023-12-07 16:01:44.802,21.9,35.4,108
2023-12-07 16:01:43.791,21.9,35.4,108
2023-12-07 16:01:42.791,21.9,35.4,107
2023-12-07 16:01:41.783,21.9,35.5,107
2023-12-07 16:01:40.780,21.9,35.5,108
2023-12-07 16:01:39.772,21.9,35.6,107
2023-12-07 16:01:38.769,21.9,35.6,108
2023-12-07 16:01:37.761,21.9,35.6,107
2023-12-07 16:01:36.757,21.9,35.6,107
2023-12-07 16:01:35.749,21.9,35.6,108
2023-12-07 16:01:34.750,21.9,35.6,108
2023-12-07 16:01:33.738,21.9,35.7,109
2023-12-07 16:01:32.738,21.9,35.7,109
2023-12-07 16:01:31.730,21.9,35.7,109
2023-12-07 16:01:30.727,21.9,35.7,109
2023-12-07 16:01:29.719,21.9,35.8,109
2023-12-07 16:01:28.716,21.9,35.8,109
2023-12-07 16:01:27.708,21.9,35.8,108
2023-12-07 16:01:26.705,21.9,35.8,108
2023-12-07 16:01:25.696,21.9,35.9,108
2023-12-07 16:01:24.693,21.9,35.9,76
2023-12-07 16:01:23.686,21.9,35.9,76
2023-12-07 16:01:22.686,21.9,35.9,76
2023-12-07 16:01:21.674,21.9,35.8,76
2023-12-07 16:01:20.674,21.9,35.8,76
2023-12-07 16:01:19.666,21.9,35.9,89
2023-12-07 16:01:18.663,21.9,35.9,78
2023-12-07 16:01:17.655,21.9,36.0,80
2023-12-07 16:01:16.652,21.9,36.0,93
2023-12-07 16:01:15.644,21.9,36.1,84
2023-12-07 16:01:14.644,21.9,36.1,107
2023-12-07 16:01:13.632,21.9,36.2,108
2023-12-07 16:01:12.633,21.9,36.2,108
2023-12-07 16:01:11.625,21.9,36.3,108
2023-12-07 16:01:10.622,21.9,36.3,108
2023-12-07 16:01:09.614,21.9,36.4,108
2023-12-07 16:01:08.610,21.9,36.4,108
2023-12-07 16:01:07.602,21.9,36.4,108
2023-12-07 16:01:06.599,21.9,36.4,108
2023-12-07 16:01:05.591,21.9,36.3,108
2023-12-07 16:01:04.592,21.9,36.3,107
2023-12-07 16:01:03.580,21.9,36.0,108
2023-12-07 16:01:02.578,21.9,36.0,108
2023-12-07 16:01:01.571,21.9,35.1,108
2023-12-07 16:01:00.566,21.9,35.1,107
2023-12-07 16:00:59.559,21.9,35.1,107
2023-12-07 16:00:58.556,21.9,35.1,108
2023-12-07 16:00:57.547,21.9,35.2,108
2023-12-07 16:00:56.544,21.9,35.2,108
2023-12-07 16:00:55.536,21.9,35.2,108
2023-12-07 16:00:54.533,21.9,35.2,108
2023-12-07 16:00:53.525,21.9,35.3,109
2023-12-07 16:00:52.525,21.9,35.3,110
2023-12-07 16:00:51.514,21.9,35.4,108
2023-12-07 16:00:50.514,21.9,35.4,109
2023-12-07 16:00:49.506,21.9,35.4,109
2023-12-07 16:00:48.502,21.9,35.4,109
2023-12-07 16:00:47.495,21.9,35.5,109
2023-12-07 16:00:46.492,21.9,35.5,109
2023-12-07 16:00:45.483,21.9,35.6,109
2023-12-07 16:00:44.480,21.9,35.6,109
2023-12-07 16:00:43.472,21.9,35.7,108
2023-12-07 16:00:42.469,21.9,35.7,108
2023-12-07 16:00:41.461,21.9,35.8,108
2023-12-07 16:00:40.462,21.9,35.8,108
2023-12-07 16:00:39.450,21.9,35.9,108
2023-12-07 16:00:38.450,21.9,35.9,108
2023-12-07 16:00:37.442,21.9,36.0,108
2023-12-07 16:00:36.439,21.9,36.0,109
2023-12-07 16:00:35.431,21.9,35.9,107
2023-12-07 16:00:34.427,21.9,35.9,108
2023-12-07 16:00:33.420,21.9,35.8,111
2023-12-07 16:00:32.416,21.9,35.8,105
2023-12-07 16:00:31.408,21.9,35.9,109
2023-12-07 16:00:30.408,21.9,35.9,112
2023-12-07 16:00:29.397,21.9,36.0,111
2023-12-07 16:00:28.397,21.9,36.0,110
2023-12-07 16:00:27.390,21.9,36.2,110
2023-12-07 16:00:26.386,21.9,36.2,110
2023-12-07 16:00:25.378,21.9,36.4,111
2023-12-07 16:00:24.374,21.9,36.4,110
2023-12-07 16:00:23.367,21.9,36.7,111
2023-12-07 16:00:22.363,21.9,36.7,112
2023-12-07 16:00:21.356,21.9,36.9,112
2023-12-07 16:00:20.356,21.9,36.9,112
2023-12-07 16:00:19.344,21.9,37.1,111
2023-12-07 16:00:18.344,21.9,37.1,110
2023-12-07 16:00:17.337,21.9,37.5,108
2023-12-07 16:00:16.333,21.9,37.5,107
2023-12-07 16:00:15.325,21.9,37.8,109
2023-12-07 16:00:14.322,21.9,37.8,110
2023-12-07 16:00:13.314,21.9,38.2,110
2023-12-07 16:00:12.311,21.9,38.2,110
2023-12-07 16:00:11.303,21.9,38.0,109
2023-12-07 16:00:10.299,21.9,38.0,109
2023-12-07 16:00:09.292,21.9,37.9,110
2023-12-07 16:00:08.292,21.9,37.9,110
2023-12-07 16:00:07.280,21.9,38.3,110
2023-12-07 16:00:06.281,21.9,38.3,109
2023-12-07 16:00:05.269,21.9,38.7,109
2023-12-07 16:00:04.269,21.9,38.7,110
2023-12-07 16:00:03.261,21.9,38.6,112
2023-12-07 16:00:02.256,21.9,38.6,112
2023-12-07 16:00:01.249,21.9,38.2,112
2023-12-07 16:00:00.245,21.9,38.2,113
2023-12-07 15:59:59.237,21.9,37.9,113
2023-12-07 15:59:58.234,21.9,37.9,112
2023-12-07 15:59:57.226,21.9,37.7,113
2023-12-07 15:59:56.222,21.9,37.7,113
2023-12-07 15:59:55.214,21.9,37.4,113
2023-12-07 15:59:54.215,21.9,37.4,113
2023-12-07 15:59:53.203,21.9,37.7,113
2023-12-07 15:59:52.204,21.9,37.7,112
2023-12-07 15:59:51.196,21.9,37.6,113
2023-12-07 15:59:50.192,21.9,37.6,113
2023-12-07 15:59:49.185,21.9,37.8,113
2023-12-07 15:59:48.181,21.9,37.8,112
2023-12-07 15:59:47.173,21.9,38.1,112
2023-12-07 15:59:46.170,21.9,38.1,112
2023-12-07 15:59:45.162,21.9,38.4,111
2023-12-07 15:59:44.158,21.9,38.4,111
2023-12-07 15:59:43.151,21.9,38.5,111
2023-12-07 15:59:42.151,21.9,38.5,111
2023-12-07 15:59:41.139,21.9,38.5,111
2023-12-07 15:59:40.140,21.9,38.5,111
2023-12-07 15:59:39.132,21.9,38.4,111
2023-12-07 15:59:38.128,21.9,38.4,111
2023-12-07 15:59:37.120,21.9,38.1,111
2023-12-07 15:59:36.117,21.9,38.1,111
2023-12-07 15:59:35.109,21.9,37.5,112
2023-12-07 15:59:34.106,21.9,37.5,112
2023-12-07 15:59:33.098,21.9,36.7,111
2023-12-07 15:59:32.098,21.9,36.7,111
2023-12-07 15:59:31.087,21.9,36.8,112
2023-12-07 15:59:30.087,21.9,36.8,111
2023-12-07 15:59:29.075,21.9,36.6,112
2023-12-07 15:59:28.076,21.9,36.6,112
2023-12-07 15:59:27.068,21.9,36.4,112
2023-12-07 15:59:26.064,21.9,36.4,112
2023-12-07 15:59:25.056,21.9,36.5,112
2023-12-07 15:59:24.053,21.9,36.5,112
2023-12-07 15:59:23.045,21.9,36.7,113
2023-12-07 15:59:22.041,21.9,36.7,113
2023-12-07 15:59:21.034,21.9,36.9,113
2023-12-07 15:59:20.034,21.9,36.9,112
2023-12-07 15:59:19.022,21.9,37.0,113
2023-12-07 15:59:18.023,21.9,37.0,113
2023-12-07 15:59:17.016,21.9,37.2,113
2023-12-07 15:59:16.011,21.9,37.2,113
2023-12-07 15:59:15.004,21.9,37.5,113
2023-12-07 15:59:14.000,21.9,37.5,113
2023-12-07 15:59:12.992,21.9,37.8,113
2023-12-07 15:59:11.989,21.9,37.8,113
2023-12-07 15:59:10.981,21.9,38.1,113
2023-12-07 15:59:09.978,21.9,38.1,113
2023-12-07 15:59:08.970,21.9,38.4,113
2023-12-07 15:59:07.970,21.9,38.4,113
2023-12-07 15:59:06.959,21.9,38.6,113
2023-12-07 15:59:05.959,21.9,38.6,113
2023-12-07 15:59:04.951,21.9,39.0,112
2023-12-07 15:59:03.948,21.9,39.0,112
2023-12-07 15:59:02.940,21.9,39.3,111
